date,sales
2020-01-01,114
2020-01-02,98
2020-01-03,124
2020-01-04,152
2020-01-05,102
2020-01-06,105
2020-01-07,161
2020-01-08,139
2020-01-09,104
2020-01-10,137
2020-01-11,109
2020-01-12,111
2020-01-13,135
2020-01-14,72
2020-01-15,80
2020-01-16,117
2020-01-17,105
2020-01-18,147
2020-01-19,112
2020-01-20,99
2020-01-21,187
2020-01-22,138
2020-01-23,148
2020-01-24,105
2020-01-25,133
2020-01-26,154
2020-01-27,117
2020-01-28,164
2020-01-29,136
2020-01-30,146
2020-01-31,138
2020-02-01,212
2020-02-02,157
2020-02-03,126
2020-02-04,183
2020-02-05,122
2020-02-06,166
2020-02-07,101
2020-02-08,120
2020-02-09,166
2020-02-10,182
2020-02-11,165
2020-02-12,156
2020-02-13,150
2020-02-14,115
2020-02-15,137
2020-02-16,144
2020-02-17,189
2020-02-18,167
2020-02-19,103
2020-02-20,165
2020-02-21,142
2020-02-22,133
2020-02-23,170
2020-02-24,182
2020-02-25,177
2020-02-26,123
2020-02-27,138
2020-02-28,155
2020-02-29,173
2020-03-01,128
2020-03-02,135
2020-03-03,106
2020-03-04,102
2020-03-05,160
2020-03-06,175
2020-03-07,130
2020-03-08,161
2020-03-09,140
2020-03-10,108
2020-03-11,136
2020-03-12,169
2020-03-13,120
2020-03-14,166
2020-03-15,50
2020-03-16,140
2020-03-17,116
2020-03-18,103
2020-03-19,113
2020-03-20,50
2020-03-21,100
2020-03-22,116
2020-03-23,147
2020-03-24,86
2020-03-25,75
2020-03-26,83
2020-03-27,124
2020-03-28,105
2020-03-29,78
2020-03-30,108
2020-03-31,94
2020-04-01,119
2020-04-02,67
2020-04-03,77
2020-04-04,74
2020-04-05,50
2020-04-06,93
2020-04-07,91
2020-04-08,83
2020-04-09,75
2020-04-10,50
2020-04-11,68
2020-04-12,70
2020-04-13,56
2020-04-14,75
2020-04-15,91
2020-04-16,136
2020-04-17,84
2020-04-18,87
2020-04-19,77
2020-04-20,50
2020-04-21,79
2020-04-22,82
2020-04-23,155
2020-04-24,76
2020-04-25,91
2020-04-26,82
2020-04-27,50
2020-04-28,119
2020-04-29,109
2020-04-30,111
2020-05-01,61
2020-05-02,132
2020-05-03,50
2020-05-04,111
2020-05-05,160
2020-05-06,66
2020-05-07,81
2020-05-08,103
2020-05-09,86
2020-05-10,57
2020-05-11,107
2020-05-12,75
2020-05-13,124
2020-05-14,84
2020-05-15,160
2020-05-16,92
2020-05-17,108
2020-05-18,145
2020-05-19,86
2020-05-20,132
2020-05-21,167
2020-05-22,82
2020-05-23,138
2020-05-24,142
2020-05-25,161
2020-05-26,102
2020-05-27,102
2020-05-28,160
2020-05-29,156
2020-05-30,157
2020-05-31,162
2020-06-01,134
2020-06-02,163
2020-06-03,167
2020-06-04,139
2020-06-05,219
2020-06-06,180
2020-06-07,132
2020-06-08,189
2020-06-09,142
2020-06-10,197
2020-06-11,210
2020-06-12,153
2020-06-13,208
2020-06-14,194
2020-06-15,208
2020-06-16,241
2020-06-17,179
2020-06-18,165
2020-06-19,162
2020-06-20,166
2020-06-21,189
2020-06-22,203
2020-06-23,202
2020-06-24,220
2020-06-25,196
2020-06-26,240
2020-06-27,189
2020-06-28,280
2020-06-29,217
2020-06-30,173
2020-07-01,167
2020-07-02,214
2020-07-03,193
2020-07-04,221
2020-07-05,214
2020-07-06,198
2020-07-07,174
2020-07-08,154
2020-07-09,186
2020-07-10,224
2020-07-11,204
2020-07-12,160
2020-07-13,202
2020-07-14,207
2020-07-15,168
2020-07-16,199
2020-07-17,195
2020-07-18,158
2020-07-19,202
2020-07-20,206
2020-07-21,221
2020-07-22,219
2020-07-23,144
2020-07-24,156
2020-07-25,198
2020-07-26,196
2020-07-27,195
2020-07-28,293
2020-07-29,193
2020-07-30,208
2020-07-31,201
2020-08-01,190
2020-08-02,159
2020-08-03,190
2020-08-04,142
2020-08-05,156
2020-08-06,147
2020-08-07,162
2020-08-08,227
2020-08-09,100
2020-08-10,174
2020-08-11,104
2020-08-12,136
2020-08-13,181
2020-08-14,149
2020-08-15,112
2020-08-16,122
2020-08-17,162
2020-08-18,118
2020-08-19,145
2020-08-20,138
2020-08-21,115
2020-08-22,198
2020-08-23,151
2020-08-24,70
2020-08-25,135
2020-08-26,108
2020-08-27,153
2020-08-28,102
2020-08-29,122
2020-08-30,139
2020-08-31,149
2020-09-01,86
2020-09-02,112
2020-09-03,107
2020-09-04,101
2020-09-05,173
2020-09-06,132
2020-09-07,82
2020-09-08,147
2020-09-09,183
2020-09-10,150
2020-09-11,74
2020-09-12,105
2020-09-13,158
2020-09-14,99
2020-09-15,134
2020-09-16,144
2020-09-17,94
2020-09-18,121
2020-09-19,50
2020-09-20,93
2020-09-21,118
2020-09-22,89
2020-09-23,176
2020-09-24,86
2020-09-25,117
2020-09-26,135
2020-09-27,176
2020-09-28,91
2020-09-29,171
2020-09-30,138
2020-10-01,110
2020-10-02,155
2020-10-03,149
2020-10-04,127
2020-10-05,149
2020-10-06,138
2020-10-07,155
2020-10-08,174
2020-10-09,203
2020-10-10,121
2020-10-11,224
2020-10-12,104
2020-10-13,161
2020-10-14,185
2020-10-15,178
2020-10-16,154
2020-10-17,168
2020-10-18,162
2020-10-19,162
2020-10-20,207
2020-10-21,195
2020-10-22,166
2020-10-23,216
2020-10-24,201
2020-10-25,218
2020-10-26,215
2020-10-27,174
2020-10-28,184
2020-10-29,226
2020-10-30,224
2020-10-31,207
2020-11-01,213
2020-11-02,250
2020-11-03,196
2020-11-04,232
2020-11-05,211
2020-11-06,213
2020-11-07,254
2020-11-08,248
2020-11-09,249
2020-11-10,265
2020-11-11,228
2020-11-12,249
2020-11-13,221
2020-11-14,241
2020-11-15,229
2020-11-16,237
2020-11-17,253
2020-11-18,211
2020-11-19,299
2020-11-20,207
2020-11-21,202
2020-11-22,273
2020-11-23,263
2020-11-24,258
2020-11-25,258
2020-11-26,239
2020-11-27,213
2020-11-28,242
2020-11-29,219
2020-11-30,269
2020-12-01,235
2020-12-02,214
2020-12-03,229
2020-12-04,250
2020-12-05,220
2020-12-06,212
2020-12-07,243
2020-12-08,242
2020-12-09,219
2020-12-10,219
2020-12-11,239
2020-12-12,187
2020-12-13,187
2020-12-14,207
2020-12-15,220
2020-12-16,235
2020-12-17,268
2020-12-18,248
2020-12-19,216
2020-12-20,219
2020-12-21,188
2020-12-22,215
2020-12-23,206
2020-12-24,222
2020-12-25,186
2020-12-26,224
2020-12-27,253
2020-12-28,202
2020-12-29,215
2020-12-30,222
2020-12-31,187
2021-01-01,204
2021-01-02,196
2021-01-03,197
2021-01-04,169
2021-01-05,191
2021-01-06,203
2021-01-07,230
2021-01-08,214
2021-01-09,248
2021-01-10,158
2021-01-11,206
2021-01-12,184
2021-01-13,242
2021-01-14,151
2021-01-15,148
2021-01-16,154
2021-01-17,107
2021-01-18,154
2021-01-19,145
2021-01-20,172
2021-01-21,176
2021-01-22,221
2021-01-23,193
2021-01-24,146
2021-01-25,135
2021-01-26,176
2021-01-27,121
2021-01-28,215
2021-01-29,195
2021-01-30,146
2021-01-31,108
2021-02-01,200
2021-02-02,156
2021-02-03,196
2021-02-04,111
2021-02-05,141
2021-02-06,160
2021-02-07,161
2021-02-08,147
2021-02-09,180
2021-02-10,130
2021-02-11,158
2021-02-12,167
2021-02-13,180
2021-02-14,186
2021-02-15,132
2021-02-16,121
2021-02-17,207
2021-02-18,180
2021-02-19,149
2021-02-20,219
2021-02-21,178
2021-02-22,211
2021-02-23,180
2021-02-24,241
2021-02-25,234
2021-02-26,176
2021-02-27,214
2021-02-28,207
2021-03-01,230
2021-03-02,163
2021-03-03,214
2021-03-04,228
2021-03-05,145
2021-03-06,165
2021-03-07,142
2021-03-08,197
2021-03-09,229
2021-03-10,255
2021-03-11,214
2021-03-12,264
2021-03-13,176
2021-03-14,168
2021-03-15,220
2021-03-16,236
2021-03-17,226
2021-03-18,167
2021-03-19,229
2021-03-20,195
2021-03-21,256
2021-03-22,250
2021-03-23,213
2021-03-24,228
2021-03-25,214
2021-03-26,246
2021-03-27,278
2021-03-28,222
2021-03-29,269
2021-03-30,240
2021-03-31,234
2021-04-01,256
2021-04-02,230
2021-04-03,246
2021-04-04,229
2021-04-05,325
